騎手名,調教師名,出走回数,1着,2着,3着,勝率,複勝率
江里口裕輝,橋本和馬,13,3,1,1,23.10%,38.5%
山林堂信彦,酒井忍,5,3,1,1,60.00%,100.0%
達城龍次,井上弘之,14,3,1,1,21.40%,35.7%
張田昂,岡林光浩,11,3,1,1,27.30%,45.5%
福原杏,小久保智,11,3,1,1,27.30%,45.5%
矢野貴之,田邊陽一,13,3,1,1,23.10%,38.5%
Ｒ．クアトロ,立花伸,8,3,1,1,37.50%,62.5%
和田譲治,朝倉実,19,3,1,1,15.80%,26.3%
赤津和希,工藤伸輔,14,3,1,0,21.40%,28.6%
岡村健司,川島正一,6,3,1,0,50.00%,66.7%
神尾香澄,武井和実,11,3,1,0,27.30%,36.4%
澤田龍哉,渡邊貴光,7,3,1,0,42.90%,57.1%
藤田凌,真島大輔,5,3,1,0,60.00%,80.0%
本田正重,坂井英光,7,3,1,0,42.90%,57.1%
山本大翔,山下貴之,8,3,1,0,37.50%,50.0%
中山遥人,藤原智行,20,3,0,4,15.00%,35.0%
東原悠善,庄子昭彦,88,3,0,3,3.40%,6.8%
御神本訓史,茂木浩幸,11,3,0,3,27.30%,54.5%
山中悠希,山下貴之,30,3,0,3,10.00%,20.0%
加藤雄真,工藤伸輔,23,3,0,2,13.00%,21.7%
吉井章,橋本和馬,10,3,0,2,30.00%,50.0%
Ｒ．クアトロ,米田英世,5,3,0,2,60.00%,100.0%
木間塚龍馬,新井清重,30,3,0,1,10.00%,13.3%
西啓太,小澤宏次,11,3,0,1,27.30%,36.4%
御神本訓史,岩崎真樹,5,3,0,1,60.00%,80.0%
御神本訓史,佐宗応和,7,3,0,1,42.90%,57.1%
吉原寛人,宇野木博徳,5,3,0,1,60.00%,80.0%
吉原寛人,栗田泰昌,16,3,0,1,18.80%,25.0%
伊藤裕人,林隆之,16,3,0,0,18.80%,18.8%
岡村健司,佐々木功,6,3,0,0,50.00%,50.0%
笹川翼,森秀行,8,3,0,0,37.50%,37.5%
本田正重,内田勝義,5,3,0,0,60.00%,60.0%
Ｒ．クアトロ,内田勝義,5,3,0,0,60.00%,60.0%
Ｒ．クアトロ,林隆之,8,3,0,0,37.50%,37.5%
和田譲治,宇野木博徳,7,3,0,0,42.90%,42.9%
